name,type,parent,,
Alachua,county,,,
Baker,county,,,
Bay,county,,,
Bradford,county,,,
Brevard,county,,,
Broward,county,,,
Calhoun,county,,,
Charlotte,county,,,
Citrus,county,,,
Clay,county,,,
Collier,county,,,
Columbia,county,,,
Desoto,county,,,
Dixie,county,,,
Duval,county,,,
Escambia,county,,,
Flagler,county,,,
Franklin,county,,,
Gadsden,county,,,
Gilchrist,county,,,
Glades,county,,,
Gulf,county,,,
Hamilton,county,,,
Hardee,county,,,
Hendry,county,,,
Hernando,county,,,
Highlands,county,,,
Hillsborough,county,,,
Holmes,county,,,
Indian River,county,,,
Jackson,county,,,
Jefferson,county,,,
Lafayette,county,,,
Lake,county,,,
Lee,county,,,
Leon,county,,,
Levy,county,,,
Liberty,county,,,
Madison,county,,,
Manatee,county,,,
Marion,county,,,
Martin,county,,,
Miami-Dade,county,,,
Monroe,county,,,
Nassau,county,,,
Okaloosa,county,,,
Okeechobee,county,,,
Orange,county,,,
Osceola,county,,,
Palm Beach,county,,,
Pasco,county,,,
Pinellas,county,,,
Polk,county,,,
Putnam,county,,,
Saint Johns,county,,,
Saint Lucie,county,,,
Santa Rosa,county,,,
Sarasota,county,,,
Seminole,county,,,
Sumter,county,,,
Suwannee,county,,,
Taylor,county,,,
Union,county,,,
Volusia,county,,,
Wakulla,county,,,
Walton,county,,,
Washington,county,,,
Alachua,city,Alachua,,
Archer,city,Alachua,,
Arredondo,city,Alachua,,
Beckhamtown,city,Alachua,,
Beville Heights,city,Alachua,,
Bland,city,Alachua,,
Buckingham West,city,Alachua,,
Buda,city,Alachua,,
Buenaventura Lakes,city,Alachua,,
Burnetts Lake,city,Alachua,,
Cadillac,city,Alachua,,
Campville,city,Alachua,,
Chantilly Acres,city,Alachua,,
Clark,city,Alachua,,
Copeland Settlement,city,Alachua,,
Cross Creek,city,Alachua,,
Daysville,city,Alachua,,
Durant Estates,city,Alachua,,
Earleton,city,Alachua,,
Evinston,city,Alachua,,
Fairbanks,city,Alachua,,
Forest Grove,city,Alachua,,
Gainesville,city,Alachua,,
Grove Park,city,Alachua,,
Hague,city,Alachua,,
Haile,city,Alachua,,
Hainesworth,city,Alachua,,
Half Moon,city,Alachua,,
Hasan,city,Alachua,,
Hawthorne,city,Alachua,,
High Springs,city,Alachua,,
Island Grove,city,Alachua,,
Jonesville,city,Alachua,,
Kanapaha,city,Alachua,,
Kincaid Hills,city,Alachua,,
Kirkwood,city,Alachua,,
La Crosse,city,Alachua,,
Lincoln Estates,city,Alachua,,
Lochloosa,city,Alachua,,
Los Trancos Woods,city,Alachua,,
Louise,city,Alachua,,
Micanopy,city,Alachua,,
Micanopy Junction,city,Alachua,,
Monteocha,city,Alachua,,
Newberry,city,Alachua,,
Newnans Lake,city,Alachua,,
Northwood,city,Alachua,,
Orange Heights,city,Alachua,,
Paradise,city,Alachua,,
Peach Orchard,city,Alachua,,
Phifer,city,Alachua,,
Pine Hill Estates,city,Alachua,,
Pinesville,city,Alachua,,
Rex,city,Alachua,,
Robinson Heights,city,Alachua,,
Rochelle,city,Alachua,,
Rocky Point,city,Alachua,,
Rutledge,city,Alachua,,
Santa Fe,city,Alachua,,
Santa Fe Beach,city,Alachua,,
Shadow Lawn Estates,city,Alachua,,
Shannon Wood,city,Alachua,,
Shenks,city,Alachua,,
Spring Hill,city,Alachua,,
Suburban Heights,city,Alachua,,
Tacoma,city,Alachua,,
Traxler,city,Alachua,,
Wacahoota,city,Alachua,,
Wade,city,Alachua,,
Waldo,city,Alachua,,
West Hills,city,Alachua,,
Wimberly Estates,city,Alachua,,
Windsor,city,Alachua,,
Baxter,city,Baker,,
Bessent,city,Baker,,
Eddy,city,Baker,,
Glen Saint Mary,city,Baker,,
Kenny,city,Baker,,
LaBuena,city,Baker,,
Macclenny,city,Baker,,
Manning,city,Baker,,
Manns Spur,city,Baker,,
Margaretta,city,Baker,,
McPherson,city,Baker,,
Olustee,city,Baker,,
Pine Top,city,Baker,,
Sanderson,city,Baker,,
Sapp,city,Baker,,
Sargent,city,Baker,,
Steckert,city,Baker,,
Taylor,city,Baker,,
Allanton,city,Bay,,
Bahama Beach,city,Bay,,
Baker,city,Bay,,
Bay Harbor,city,Bay,,
Bayhead,city,Bay,,
Bayou George,city,Bay,,
Bayview,city,Bay,,
Beacon Beach,city,Bay,,
Bennett,city,Bay,,
Betts,city,Bay,,
Bid-A-Wee,city,Bay,,
Biltmore Beach,city,Bay,,
Brannonville,city,Bay,,
Cairo,city,Bay,,
Callaway,city,Bay,,
Cedar Grove,city,Bay,,
Cove,city,Bay,,
Cromanton,city,Bay,,
Delwood Beach,city,Bay,,
Dirego Park,city,Bay,,
Econfina,city,Bay,,
Edgewater Gulf Beach,city,Bay,,
Farmdale,city,Bay,,
Florida Beach,city,Bay,,
Fountain,city,Bay,,
Glenwood,city,Bay,,
Gulf Lagoon Beach,city,Bay,,
Gulf Resort Beach,city,Bay,,
Hiland Park,city,Bay,,
Hollywood Beach,city,Bay,,
Laguna Beach,city,Bay,,
Laird,city,Bay,,
Long Beach Resort,city,Bay,,
Long Point,city,Bay,,
Lower Grand Lagoon,city,Bay,,
Lynn Haven,city,Bay,,
Magnolia Beach,city,Bay,,
Majette,city,Bay,,
Mexico Beach,city,Bay,,
Millville,city,Bay,,
Nixon,city,Bay,,
Old Callaway,city,Bay,,
Open Sands,city,Bay,,
Panama City,city,Bay,,
Panama City Beach,city,Bay,,
Parker,city,Bay,,
Pine Log,city,Bay,,
Pretty Bayou,city,Bay,,
